_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,musical_background,visual_impairments,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,musicpref_rock,musicpref_traditional_irish,musicpref_hip_hop,musicpref_jazz,musicpref_pop,musicpref_hiphop,musicpref_world,musicpref_none,musicpref_classical,musicpref_folk,musicpref_dance
570eb72383a73509d0e01cf8,taipei_city,en,taiwanese,11.0,male,0,1,5,5,3,5,5,4,2,4,3,1,5,True,5,5,4,5,5,5,5,5,5,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,1,0,0,0,0,0,0,0,0,0,0
570eb72b83a73509d0e01f76,taipei_city,en,indonesian,40.0,male,0,5,1,5,5,5,1,5,1,5,3,5,5,True,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,1,0,0,0,0,0,0,0,0,0,0
570eb72c83a73509d0e01ff0,taipei_city,zh_TW,taiwanese,8.0,male,0,5,4,4,4,2,4,2,4,5,3,2,3,True,2,1,2,2,3,1,3,5,5,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,1,0,0,0,1,0,0,0,0,0,0
570eb72f83a73509d0e02101,taichung_city,en,taiwanese,19.0,female,0,4,1,4,4,3,3,4,2,4,4,1,5,True,3,5,3,4,5,4,5,2,2,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,1,0,0,0,0,0,0
570eb73983a73509d0e02466,taichung_city,en,taiwanese,9.0,male,0,4,1,3,3,5,1,5,5,4,3,2,4,True,2,1,4,4,4,3,5,5,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,1,0,0,0,0,0,0,0
570eb73e83a73509d0e025f2,taipei_city,zh_TW,taiwanese,16.0,female,1,2,5,5,5,3,4,5,5,5,4,1,5,True,5,4,5,5,5,5,5,5,5,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,1,0,0,0,1,0,0,0,0,0,1
570eb74483a73509d0e027df,taipei_city,en,taiwanese,18.0,female,0,2,3,2,4,1,4,2,3,3,2,1,2,True,3,2,2,2,2,2,3,3,3,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,0,0,1,0,0
570eb74b83a73509d0e02a0b,taipei_city,en,taiwanese,6.0,male,0,3,2,4,4,4,4,3,3,4,2,3,3,True,5,3,5,2,4,3,5,1,4,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,0,0,0,0,1,0,0
570eb75483a73509d0e02d40,taipei_city,en,american,14.0,female,0,4,1,5,3,2,5,4,4,2,3,3,4,True,4,1,3,1,1,2,4,4,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,1,1,0,0,0,0,0
570eb75a83a73509d0e02f39,taipei_city,en,taiwanese,14.0,female,0,2,3,3,2,4,4,3,3,4,2,3,4,True,3,4,4,4,3,4,4,5,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hallelujah,0,0,0,0,1,0,0,0,0,0,1
